,IAW - WINDSOR PLANT,Forecast1,,,,,Month Remainder,,,,,,,,,,,,
FG1,FG2,FG3,FG4,,,,77%,,,,,,,,,,,,
86628825,-,-,-,,,,,,,,,,,,,,,,
,,,,,,,,Va etre discontinué sans remplacement,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
56106013,-,-,-,,,,,,,,,,,,,,,,
Rep: Cameron Livermore,Marque: Ultra Premium,FG on  Hand:,"4,200",Actuals vs Forecast,,,,,,,,,,,,,,,
Status: Phase-Out,300000007,BAG ODOR LOCK UN 13LB,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
PACK,1710,"4,990",Demand, 	-    , 	-    , 	-    ," 	5,744  "," 	7,152  "," 	4,128  "," 	5,704  "," 	5,322  "," 	4,280  "," 	2,766  "," 	5,122  "," 	4,110  "," 	4,614  "," 	5,118  "," 	2,430  ",
ISABELLE PICARD,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,," 	4,128  "," 	5,704  "," 	4,986  "," 	4,280  "," 	2,766  "," 	5,122  "," 	3,774  "," 	4,614  "," 	5,118  ",
Lead Time: 150d,1716,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
China A,,Total open po: 0,PO number,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,543," 	(6,609) "," 	(10,737) "," 	(12,313) "," 	(11,931) "," 	(11,225) "," 	(9,711) "," 	(12,067) "," 	(11,055) "," 	(11,895) "," 	(12,399) "," 	(9,711) ",
,,,Safety Stock,0,,,Notes,,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000135,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
56107013,-,-,-,,,,,,,,,,,,,,,,
Rep: Cameron Livermore,Marque: Ultra Premium,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,,
Status: In-Use,300000135,BAG (RL) - ODOR LOCK UN 13 LB V3,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
PACK,1710,"50,000",Demand, 	-    , 	-    , 	-    , 	168  , 	168  , 	168  , 	798  , 	168  , 	168  , 	168  , 	798  , 	168  , 	168  , 	168  , 	798  ,
ISABELLE PICARD,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,," 	(4,128) "," 	5,704  "," 	(4,986) "," 	(4,280) "," 	(2,766) "," 	(5,122) "," 	(3,774) "," 	(4,614) "," 	(5,118) ",
